epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.5461,1.08892,1.40168,1.01884,0.0726,0.8799,0.07065,0.05039,0.88201,11.9827,0.91312,0.000664062,0.000664062,0.000664062
2,173.078,1.02847,0.69485,0.98883,0.9031,0.86275,0.92425,0.70137,0.86099,0.68296,0.91902,0.00129779,0.00129779,0.00129779
3,257.955,0.98805,0.65308,0.98152,0.97267,0.95959,0.98679,0.77577,0.81371,0.52125,0.87447,0.00189852,0.00189852,0.00189852
4,345.105,0.95351,0.62919,0.9673,0.95139,0.95933,0.97581,0.74076,0.85148,0.60577,0.89608,0.0018515,0.0018515,0.0018515
5,429.413,0.92762,0.58697,0.95184,0.96744,0.94676,0.98138,0.79194,0.73595,0.55737,0.86849,0.001802,0.001802,0.001802
6,515.401,0.89109,0.55915,0.94103,0.98269,0.96078,0.98741,0.80825,0.71324,0.47534,0.85237,0.0017525,0.0017525,0.0017525
7,601.324,0.86483,0.53435,0.93221,0.98243,0.96078,0.99084,0.81283,0.69288,0.452,0.85778,0.001703,0.001703,0.001703
8,688.625,0.84408,0.51673,0.92748,0.97046,0.96638,0.99161,0.80502,0.69493,0.45204,0.84403,0.0016535,0.0016535,0.0016535
9,773.833,0.82434,0.49921,0.91849,0.9874,0.96074,0.99163,0.8104,0.68982,0.44595,0.84038,0.001604,0.001604,0.001604
10,858.141,0.81989,0.49692,0.92114,0.98119,0.96569,0.98972,0.81247,0.64576,0.42542,0.83828,0.0015545,0.0015545,0.0015545
11,943.349,0.79579,0.48126,0.91031,0.96818,0.96947,0.99069,0.8407,0.64563,0.39949,0.83246,0.001505,0.001505,0.001505
12,1030.56,0.7779,0.46396,0.90786,0.98723,0.96569,0.9924,0.81709,0.63896,0.40482,0.83263,0.0014555,0.0014555,0.0014555
13,1115.23,0.77005,0.4587,0.90208,0.98583,0.95588,0.98478,0.81906,0.63413,0.43488,0.83668,0.001406,0.001406,0.001406
14,1200.86,0.76575,0.45554,0.90562,0.97044,0.97304,0.99133,0.83123,0.596,0.40659,0.83266,0.0013565,0.0013565,0.0013565
15,1284.57,0.75392,0.44345,0.90142,0.97516,0.96222,0.99174,0.83715,0.58691,0.37275,0.82302,0.001307,0.001307,0.001307
16,1370.51,0.76656,0.44038,0.90012,0.98402,0.95833,0.98932,0.85171,0.57062,0.37139,0.8163,0.0012575,0.0012575,0.0012575
17,1458.72,0.74689,0.42739,0.90006,0.97769,0.96666,0.99159,0.83515,0.5983,0.37356,0.82536,0.001208,0.001208,0.001208
18,1542.22,0.73258,0.42254,0.89388,0.97773,0.96827,0.98738,0.82877,0.58613,0.37997,0.81812,0.0011585,0.0011585,0.0011585
19,1627.58,0.7337,0.4211,0.89076,0.9789,0.96078,0.99098,0.83704,0.59789,0.37965,0.81876,0.001109,0.001109,0.001109
20,1711.98,0.72105,0.41218,0.89362,0.97795,0.97059,0.99253,0.84008,0.59208,0.37088,0.81947,0.0010595,0.0010595,0.0010595
21,1796.35,0.71708,0.40724,0.89162,0.9805,0.97304,0.99187,0.848,0.55817,0.33129,0.81309,0.00101,0.00101,0.00101
22,1881.64,0.70564,0.3968,0.88894,0.98014,0.96324,0.9904,0.84949,0.55817,0.34461,0.81293,0.0009605,0.0009605,0.0009605
23,1964.7,0.69519,0.38981,0.88273,0.98007,0.97304,0.99231,0.84787,0.58212,0.34049,0.81288,0.000911,0.000911,0.000911
24,2049.66,0.69436,0.38677,0.8816,0.98133,0.97059,0.99257,0.8477,0.57938,0.33732,0.81454,0.0008615,0.0008615,0.0008615
